NO_OF_FRAMES,10869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NO_OF_CAMERAS,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NO_OF_MARKERS,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FREQUENCY,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NO_OF_ANALOG,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANALOG_FREQUENCY,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DESCRIPTION,--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TIME_STAMP,"2024-05-09, 13:08:08.849",76935.77355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DATA_INCLUDED,3D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MARKER_NAMES,Gimbal1 - 1,Gimbal1 - 2,Gimbal1 - 3,Gimbal1 - 4,M2 - 1,M2 - 2,M2 - 3,M2 - 4,M2 - 5,M2 - 6,M2 - 7,M2 - 8,,,,,,,,,,,,,,,,,,,,,,,,,
Frame,Time,Gimbal1 - 1 X,Gimbal1 - 1 Y,Gimbal1 - 1 Z,Gimbal1 - 2 X,Gimbal1 - 2 Y,Gimbal1 - 2 Z,Gimbal1 - 3 X,Gimbal1 - 3 Y,Gimbal1 - 3 Z,Gimbal1 - 4 X,Gimbal1 - 4 Y,Gimbal1 - 4 Z,M2 - 1 X,M2 - 1 Y,M2 - 1 Z,M2 - 2 X,M2 - 2 Y,M2 - 2 Z,M2 - 3 X,M2 - 3 Y,M2 - 3 Z,M2 - 4 X,M2 - 4 Y,M2 - 4 Z,M2 - 5 X,M2 - 5 Y,M2 - 5 Z,M2 - 6 X,M2 - 6 Y,M2 - 6 Z,M2 - 7 X,M2 - 7 Y,M2 - 7 Z,M2 - 8 X,M2 - 8 Y,M2 - 8 Z
1,0,262.172,177.924,132.052,255.022,192.644,210.665,257.192,185.519,171.395,224.898,194.252,208.176,242.741,87.184,15.373,242.024,169.642,16.124,204.484,181.582,15.383,176.644,157.142,94.799,264.512,40.813,15.087,136.999,110.15,14.259,272.774,23.917,-26.487,108.369,225.81,12.561
2,0.00833,262.196,177.916,132.054,255.033,192.665,210.693,257.21,185.521,171.426,224.889,194.276,208.226,242.735,87.181,15.362,242.031,169.65,16.154,204.513,181.579,15.367,176.664,157.148,94.783,264.503,40.821,15.097,137.007,110.145,14.274,272.794,23.931,-26.486,108.138,225.988,11.74
3,0.01667,262.191,177.917,132.044,255.058,192.664,210.699,257.2,185.547,171.473,224.904,194.264,208.206,242.736,87.172,15.372,242.043,169.643,16.162,204.52,181.57,15.366,176.659,157.148,94.793,264.508,40.838,15.066,137.007,110.117,14.243,272.77,23.959,-26.417,108.256,225.841,12.462
4,0.025,262.189,177.913,132.031,255.065,192.662,210.671,257.208,185.558,171.457,223.807,193.327,208.659,242.748,87.175,15.372,242.034,169.644,16.136,204.499,181.565,15.358,176.667,157.186,94.739,264.239,40.417,15.546,136.999,110.13,14.252,273.233,25.089,-28.114,108.245,225.829,12.494
5,0.03333,262.197,177.921,132.068,255.228,192.745,210.958,257.21,185.542,171.429,223.821,193.359,208.662,242.74,87.171,15.39,242.031,169.655,16.141,204.51,181.574,15.363,176.666,157.18,94.719,264.222,40.355,15.642,136.998,110.139,14.26,273.238,25.114,-28.134,108.255,225.832,12.486
6,0.04167,262.427,177.851,132.108,255.154,192.741,210.853,257.374,185.668,171.692,223.676,193.449,208.745,243.032,87.252,15.58,241.864,169.643,16.063,204.509,181.559,15.333,176.874,157.119,94.65,264.333,40.754,15.968,137.031,110.198,14.359,273.257,25.176,-28.103,109.049,226.669,13.858
7,0.05,262.451,178.654,131.916,254.937,192.756,210.634,257.034,185.545,171.39,223.714,193.39,208.69,242.498,87.371,15.199,241.82,169.682,15.947,204.477,181.586,15.284,176.59,157.18,94.739,264.276,40.46,15.748,137.085,110.242,14.329,273.212,25.109,-28.103,108.518,225.78,11.975
8,0.05833,262.189,177.886,132.064,254.888,192.753,210.613,256.986,185.524,171.353,223.726,193.446,208.743,242.474,87.349,15.177,241.853,169.644,16.007,204.462,181.588,15.28,176.551,157.177,94.692,264.278,40.466,15.71,137.079,110.225,14.315,273.239,25.112,-28.138,108.315,225.979,12.502
9,0.06667,262.312,178.293,131.976,254.893,192.773,210.61,256.973,185.537,171.355,223.704,193.435,208.657,242.429,87.381,15.133,241.879,169.685,16.071,204.496,181.626,15.282,176.573,157.153,94.671,264.279,40.47,15.713,136.932,110.103,14.294,273.236,25.1,-28.104,108.242,225.926,12.428
10,0.075,262.169,177.92,132.08,254.887,192.785,210.58,256.965,185.534,171.336,223.721,193.423,208.656,242.427,87.394,15.119,241.907,169.694,16.103,204.479,181.656,15.273,176.553,157.176,94.707,264.249,40.453,15.733,136.92,110.056,14.3,273.266,25.124,-28.116,108.239,225.939,12.407
11,0.08333,262.171,177.916,132.052,254.888,192.789,210.592,256.965,185.535,171.358,223.726,193.493,208.633,242.384,87.378,15.133,241.887,169.689,16.085,204.478,181.625,15.259,176.543,157.165,94.719,264.274,40.454,15.742,136.914,110.069,14.283,273.268,25.125,-28.16,108.357,225.948,12.503
12,0.09167,262.182,177.912,132.065,254.897,192.784,210.589,256.938,185.521,171.355,223.717,193.471,208.645,242.399,87.415,15.116,241.884,169.71,16.053,204.496,181.648,15.258,176.534,157.18,94.759,264.259,40.494,15.705,136.913,110.072,14.298,273.236,25.099,-28.105,108.593,226.566,11.876
13,0.1,262.175,177.934,132.066,254.884,192.779,210.557,256.922,185.581,171.399,223.695,193.429,208.689,242.366,87.393,15.078,241.845,169.717,16.023,204.48,181.628,15.262,176.51,157.172,94.714,264.247,40.44,15.719,136.911,110.08,14.305,273.236,25.1,-28.105,108.228,225.937,12.386
14,0.10833,262.182,177.935,132.075,254.875,192.816,210.542,256.922,185.567,171.372,223.7,193.447,208.708,242.395,87.424,15.09,241.869,169.731,16.068,204.491,181.676,15.247,176.525,157.179,94.725,264.258,40.489,15.638,136.933,110.06,14.282,273.235,25.099,-28.105,108.224,225.968,12.402
15,0.11667,262.152,177.922,132.037,254.867,192.825,210.573,256.921,185.547,171.332,223.678,193.447,208.727,242.369,87.422,15.051,241.89,169.708,16.032,204.491,181.664,15.275,176.53,157.181,94.694,264.284,40.492,15.649,136.939,110.088,14.301,273.239,25.112,-28.138,108.215,225.962,12.385
16,0.125,262.202,177.937,132.057,254.874,192.79,210.565,256.909,185.542,171.327,223.66,193.405,208.701,242.373,87.423,15.098,241.877,169.724,16.042,204.483,181.654,15.268,176.526,157.17,94.715,264.243,40.431,15.693,136.95,110.061,14.328,273.237,25.11,-28.094,108.215,225.942,12.406
17,0.13333,262.154,177.942,132.06,254.862,192.813,210.564,256.935,185.555,171.331,223.703,193.483,208.649,242.374,87.427,15.087,241.857,169.71,16.043,204.478,181.651,15.252,176.516,157.192,94.725,264.266,40.424,15.738,136.92,110.097,14.332,273.245,25.153,-28.093,109.037,226.55,13.367
